127.0.0.1 - - [22/Sep/2018:10:55:32 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:55:36 -0700] "GET /Student/ HTTP/1.1" 200 2236
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:55:37 -0700] "GET /Student/img/india.png HTTP/1.1" 200 3882
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:55:37 -0700] "GET /Student/Bootstrap/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:55:37 -0700] "GET /Student/Bootstrap/js/jquery.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:55:38 -0700] "GET /Student/Bootstrap/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:55:39 -0700] "GET /Student/img/ba88.bmp HTTP/1.1" 200 44782442
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:55:40 -0700] "GET /Student/Bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:56:04 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:56:08 -0700] "GET /Student/Login.jsp HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:56:09 -0700] "GET /Student/Bootstrap/css/logcss.css HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:56:10 -0700] "GET /Student/img/img3.jpg HTTP/1.1" 200 202795
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:56:32 -0700] "POST /Student/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:56:32 -0700] "GET /Student/Index.jsp HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:56:33 -0700] "GET /Student/img/ba88.bmp HTTP/1.1" 200 44782442
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:56:44 -0700] "GET /Student/deptView HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:56:51 -0700] "GET /Student/Index.jsp HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:56:51 -0700] "GET /Student/img/ba88.bmp HTTP/1.1" 200 44782442
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:57:01 -0700] "GET /Student/getdept HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:57:21 -0700] "POST /Student/record HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:57:24 -0700] "GET /Student/Home.jsp HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:57:30 -0700] "GET /Student/getdept HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:57:31 -0700] "GET /Student/Index.jsp HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:57:32 -0700] "GET /Student/img/ba88.bmp HTTP/1.1" 200 44782442
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:57:34 -0700] "GET /Student/deptView HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:57:43 -0700] "GET /Student/Index.jsp HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:57:43 -0700] "GET /Student/img/ba88.bmp HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:57:44 -0700] "GET /Student/img/ba88.bmp HTTP/1.1" 206 24597380
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:57:45 -0700] "GET /Student/getdept HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:57:58 -0700] "POST /Student/record HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:58:02 -0700] "GET /Student/getdept HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:58:04 -0700] "GET /Student/Index.jsp HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:58:04 -0700] "GET /Student/img/ba88.bmp HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:58:05 -0700] "GET /Student/img/ba88.bmp HTTP/1.1" 206 19878824
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:58:09 -0700] "GET /Student/view HTTP/1.1" 200 3739
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:58:17 -0700] "GET /Student/delete?del=117 HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:58:21 -0700] "GET /Student/Index.jsp HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:58:22 -0700] "GET /Student/img/ba88.bmp HTTP/1.1" 200 44782442
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:58:33 -0700] "GET /Student/view HTTP/1.1" 200 3484
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:58:40 -0700] "GET /Student/Index.jsp HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:58:40 -0700] "GET /Student/img/ba88.bmp HTTP/1.1" 200 44782442
0:0:0:0:0:0:0:1 - - [22/Sep/2018:10:58:50 -0700] "POST /Student/search HTTP/1.1" 200 748
