127.0.0.1 - - [08/Sep/2018:23:05:37 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:05:53 -0700] "GET /Student/ HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:06:11 -0700] "GET /Student/img/india.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:06:11 -0700] "GET /Student/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:06:17 -0700] "GET /Student/Bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:06:17 -0700] "GET /Student/Bootstrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:06:33 -0700] "GET /Student/img/ba88.bmp HTTP/1.1" 200 44782442
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:06:36 -0700] "GET /Student/Bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:07:21 -0700] "GET /Student/Login.jsp HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:07:22 -0700] "GET /Student/Bootstrap/css/logcss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:07:24 -0700] "GET /Student/img/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:07:25 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:07:56 -0700] "POST /Student/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:07:56 -0700] "GET /Student/Index.jsp HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:07:57 -0700] "GET /Student/img/ba88.bmp HTTP/1.1" 200 44782442
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:08:06 -0700] "GET /Student/view HTTP/1.1" 200 2957
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:08:15 -0700] "GET /Student/update?up=113 HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:08:39 -0700] "POST /Student/update HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:08:44 -0700] "GET /Student/Index.jsp HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:08:44 -0700] "GET /Student/img/ba88.bmp HTTP/1.1" 200 44782442
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:08:47 -0700] "GET /Student/view HTTP/1.1" 200 2959
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:09:10 -0700] "GET /Student/update?up=114 HTTP/1.1" 200 1863
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:09:56 -0700] "POST /Student/update HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:10:02 -0700] "GET /Student/Index.jsp HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:10:03 -0700] "GET /Student/img/ba88.bmp HTTP/1.1" 200 44782442
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:10:06 -0700] "GET /Student/view HTTP/1.1" 200 2959
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:10:10 -0700] "GET /Student/update?up=114 HTTP/1.1" 200 1863
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:10:51 -0700] "POST /Student/update HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [08/Sep/2018:23:10:53 -0700] "GET /Student/Index.jsp HTTP/1.1" 200 1841
